ptt,tuid,year,month,day,longitude,latitude,date,type,depth_min,temp_depth_min,depth_max,depth_range,tsst
100974,57,2011,11,29,-55.5965,34.6488,11/29/2011,pdt,152,17.0,792,640,NaN
100974,58,2011,11,30,-55.2345,34.4859,11/30/2011,pdt,8,21.4,736,728,NaN
100974,59,2011,12,01,-54.612,34.359,12/01/2011,pdt,8,21.4,728,720,NaN
100974,60,2011,12,05,-54.5891,34.4154,12/05/2011,pdt,64,21.8,712,648,NaN
100974,61,2011,12,07,-54.4034,34.3734,12/07/2011,pdt,72,21.6,792,720,NaN
100974,62,2011,12,08,-54.5622,34.6675,12/08/2011,pdt,8,21.4,648,640,NaN
100974,63,2011,12,09,-54.1084,34.5915,12/09/2011,pdt,8,21.2,736,728,NaN
100974,64,2011,12,12,-54.1752,34.5199,12/12/2011,pdt,128,17.4,768,640,NaN
100974,65,2011,12,14,-54.0186,34.4402,12/14/2011,pdt,1,20.594,752,751,NaN
100974,66,2011,12,15,-54.4283,34.3809,12/15/2011,pdt,1,20.377,808,807,NaN
100974,67,2011,12,19,-54.5761,34.6304,12/19/2011,pdt,1,20.992,856,855,NaN
100974,68,2011,12,20,-55.1872,34.4539,12/20/2011,pdt,16,21.2,872,856,NaN
100974,69,2011,12,21,-55.4985,34.4276,12/21/2011,pdt,96,21.2,928,832,NaN
100974,71,2011,12,25,-55.8743,34.7163,12/25/2011,pdt,176,18.0,928,752,NaN
100974,72,2011,12,26,-56.38,34.4811,12/26/2011,pdt,1,20.585,904,903,NaN
100974,73,2011,12,31,-56.7003,34.6944,12/31/2011,pdt,8,20.6,968,960,NaN
100974,74,2012,01,01,-57.2974,35.0281,01/01/2012,pdt,160,18.4,928,768,NaN
100974,75,2012,01,04,-58.2146,35.0356,01/04/2012,pdt,1,20.408,880,879,NaN
100974,76,2012,01,05,-58.5609,34.8449,01/05/2012,pdt,8,20.6,904,896,NaN
100974,80,2012,01,16,-60.4314,35.157,01/16/2012,gpe,184,18.0,336,152,NaN
100974,81,2012,01,19,-61.908,35.7038,01/19/2012,pdt,184,19.4,432,248,NaN
100974,82,2012,01,20,-62.5195,35.7474,01/20/2012,pdt,208,16.2,352,144,NaN
100974,83,2012,01,24,-63.3885,35.6732,01/24/2012,pdt,232,16.2,360,128,NaN
100974,84,2012,01,25,-64.291,35.6484,01/25/2012,pdt,200,17.6,368,168,NaN
100974,0,2012,01,26,-64.3222,35.7602,01/26/2012,gpe,NaN,NaN,NaN,NaN,NaN
100974,0,2012,01,31,-64.3825,35.8981,01/31/2012,gpe,NaN,NaN,NaN,NaN,NaN
100974,0,2012,02,12,-65.139,36.283,02/12/2012,pop,NaN,NaN,NaN,NaN,NaN
100979,1,2011,06,27,-69.8659,42.221,06/27/2011,tag,1,14.15,192,191,NaN
100979,3,2011,06,30,-69.7617,42.2929,06/30/2011,gpe,1,15.775,240,239,NaN
100979,0,2011,07,02,-69.8385,42.4566,07/02/2011,gpe,NaN,NaN,NaN,NaN,NaN
100979,0,2011,07,02,-70.1831,42.4066,07/02/2011,gpe,NaN,NaN,NaN,NaN,NaN
100979,12,2011,07,12,-70.5995,40.0178,07/12/2011,pdt,1,19.492,216,215,NaN
100979,13,2011,07,13,-70.6178,39.9968,07/13/2011,pdt,1,18.825,216,215,NaN
100979,31,2011,08,06,-71.1584,39.1048,08/06/2011,gpe,1,15.275,56,55,NaN
100979,0,2011,08,27,-71.7462,37.3672,08/27/2011,gpe,NaN,NaN,NaN,NaN,NaN
100979,71,2011,09,28,-71.172,31.2415,09/28/2011,gpe,1,16.075,160,159,NaN
100979,72,2011,09,29,-70.9303,29.8361,09/29/2011,gpe,1,17.175,56,55,NaN
100979,74,2011,10,04,-70.8042,29.9381,10/04/2011,pdt,144,20.6,760,616,NaN
100979,78,2011,10,08,-71.5366,30.9647,10/08/2011,pdt,200,19.8,704,504,NaN
100979,79,2011,10,09,-71.7182,31.4843,10/09/2011,pdt,256,18.6,720,464,NaN
100979,80,2011,10,10,-71.6114,32.1614,10/10/2011,pdt,64,25.8,920,856,NaN
100979,81,2011,10,11,-71.5191,32.7159,10/11/2011,pdt,1,26.0,584,583,NaN
100979,82,2011,10,12,-71.7763,32.8414,10/12/2011,pdt,8,26.2,664,656,NaN
100979,83,2011,10,13,-71.734,33.1781,10/13/2011,pdt,40,26.4,944,904,NaN
100979,84,2011,10,14,-72.3152,32.9455,10/14/2011,pdt,8,26.0,888,880,NaN
100979,85,2011,10,16,-72.2158,32.8126,10/16/2011,pdt,8,26.0,632,624,NaN
100979,88,2011,10,19,-72.2184,32.2141,10/19/2011,pdt,1,25.6,592,591,NaN
100979,89,2011,10,20,-71.7812,31.9981,10/20/2011,pdt,112,20.0,592,480,NaN
100979,90,2011,10,21,-71.2083,31.8565,10/21/2011,pdt,1,25.575,584,583,NaN
100979,92,2011,10,23,-71.2661,31.6166,10/23/2011,pdt,40,25.6,624,584,NaN
100979,93,2011,10,24,-71.2784,31.4824,10/24/2011,pdt,1,26.55625,528,527,NaN
100979,94,2011,10,25,-70.9828,31.2548,10/25/2011,pdt,160,19.2,736,576,NaN
100979,95,2011,10,26,-70.9262,30.9768,10/26/2011,pdt,8,26.4,512,504,NaN
100979,97,2011,10,28,-70.7666,30.4706,10/28/2011,pdt,1,25.953,680,679,NaN
100979,98,2011,10,30,-70.8802,30.4184,10/30/2011,pdt,1,26.2,568,567,NaN
100979,99,2011,10,31,-70.7966,30.072,10/31/2011,pdt,1,26.0,568,567,NaN
100979,100,2011,11,01,-71.0156,29.8289,11/01/2011,pdt,48,26.0,912,864,NaN
100979,101,2011,11,02,-71.1505,29.9294,11/02/2011,pdt,64,25.6,760,696,NaN
100979,102,2011,11,03,-71.5515,29.8129,11/03/2011,pdt,8,26.4,704,696,NaN
100979,103,2011,11,04,-71.7785,29.5681,11/04/2011,pdt,224,18.6,680,456,NaN
100979,104,2011,11,05,-72.131,29.5958,11/05/2011,pdt,8,26.2,608,600,NaN
100979,105,2011,11,06,-72.0987,29.672,11/06/2011,pdt,8,26.0,624,616,NaN
100979,106,2011,11,07,-72.2731,29.7201,11/07/2011,pdt,1,25.9525,568,567,NaN
100979,107,2011,11,08,-72.4419,29.7569,11/08/2011,pdt,1,25.605,520,519,NaN
100979,108,2011,11,09,-72.342,29.5976,11/09/2011,pdt,64,24.8,896,832,NaN
100979,110,2011,11,13,-72.2772,29.4528,11/13/2011,pdt,64,23.8,776,712,NaN
100979,111,2011,11,14,-72.4298,29.3284,11/14/2011,pdt,1,25.96875,576,575,NaN
100979,112,2011,11,15,-72.4731,28.875,11/15/2011,pdt,1,26.56,704,703,NaN
100979,113,2011,11,16,-72.6782,29.005,11/16/2011,pdt,1,26.778,560,559,NaN
100979,114,2011,11,17,-72.9643,28.5695,11/17/2011,pdt,72,25.4,792,720,NaN
100979,115,2011,11,18,-72.9211,28.6147,11/18/2011,pdt,1,27.391,488,487,NaN
100979,116,2011,11,19,-72.7708,28.5844,11/19/2011,pdt,1,27.564,784,783,NaN
100979,117,2011,11,20,-73.1452,28.4919,11/20/2011,pdt,96,25.4,632,536,NaN
100979,118,2011,11,21,-73.2611,28.5719,11/21/2011,pdt,1,27.6,560,559,NaN
100979,119,2011,11,22,-73.6127,28.6839,11/22/2011,pdt,1,27.405,552,551,NaN
100979,120,2011,11,25,-73.7528,28.7496,11/25/2011,pdt,112,23.4,1000,888,NaN
100979,121,2011,11,26,-74.1092,28.6964,11/26/2011,pdt,112,23.6,560,448,NaN
100979,122,2011,11,27,-74.4337,28.894,11/27/2011,pdt,144,23.2,632,488,NaN
100979,123,2011,11,28,-74.3063,28.7777,11/28/2011,pdt,1,27.39375,536,535,NaN
100979,124,2011,11,29,-74.3343,28.8726,11/29/2011,pdt,1,27.2,432,431,NaN
100979,125,2011,11,30,-74.3588,28.8891,11/30/2011,pdt,176,23.4,504,328,NaN
100979,126,2011,12,01,-74.3158,28.9441,12/01/2011,pdt,32,27.2,768,736,NaN
100979,127,2011,12,02,-74.3002,28.8292,12/02/2011,pdt,1,27.4,496,495,NaN
100979,128,2011,12,03,-74.0252,28.737,12/03/2011,pdt,64,27.2,488,424,NaN
100979,129,2011,12,04,-74.0653,28.5378,12/04/2011,pdt,112,25.2,608,496,NaN
100979,130,2011,12,05,-73.5797,28.609,12/05/2011,gpe,8,27.2,576,568,NaN
100979,132,2011,12,07,-73.3386,28.1677,12/07/2011,gpe,16,27.0,528,512,NaN
100979,133,2011,12,08,-73.0033,27.489,12/08/2011,gpe,120,23.0,696,576,NaN
100979,133,2011,12,08,-72.863,27.2358,12/08/2011,pdt,120,23.0,696,576,NaN
100979,134,2011,12,09,-72.4166,27.2093,12/09/2011,pdt,8,26.8,464,456,NaN
100979,135,2011,12,10,-72.5073,26.8985,12/10/2011,pdt,1,27.18,456,455,NaN
100979,136,2011,12,11,-72.0401,26.6813,12/11/2011,pdt,64,26.6,528,464,NaN
100979,137,2011,12,12,-71.7963,26.6953,12/12/2011,pdt,88,24.8,464,376,NaN
100979,138,2011,12,13,-71.5148,26.293,12/13/2011,pdt,96,24.4,696,600,NaN
100979,139,2011,12,14,-71.1589,25.9697,12/14/2011,pdt,72,25.4,592,520,NaN
100979,140,2011,12,15,-70.9073,25.9844,12/15/2011,pdt,8,27.0,504,496,NaN
100979,141,2011,12,16,-70.7209,25.715,12/16/2011,pdt,88,25.4,456,368,NaN
100979,142,2011,12,17,-70.3411,25.9959,12/17/2011,pdt,88,25.2,608,520,NaN
100979,142,2011,12,17,-70.5314,25.7062,12/17/2011,gpe,88,25.2,608,520,NaN
100979,144,2011,12,19,-69.7962,26.0103,12/19/2011,pdt,24,27.2,584,560,NaN
100979,144,2011,12,19,-69.8144,25.7922,12/19/2011,gpe,24,27.2,584,560,NaN
100979,145,2011,12,20,-69.5711,25.8882,12/20/2011,pdt,80,25.0,544,464,NaN
100979,146,2011,12,21,-69.1246,25.7503,12/21/2011,pdt,64,27.2,504,440,NaN
100979,147,2011,12,24,-68.5278,25.3572,12/24/2011,pdt,88,25.2,776,688,NaN
100979,148,2011,12,25,-67.9741,24.7995,12/25/2011,pdt,72,26.0,560,488,NaN
100979,149,2011,12,26,-67.5838,24.9711,12/26/2011,pdt,64,26.0,496,432,NaN
100979,150,2011,12,27,-67.479,24.9852,12/27/2011,pdt,64,26.8,544,480,NaN
100979,151,2011,12,28,-67.3556,24.709,12/28/2011,pdt,8,26.4,624,616,NaN
100979,152,2011,12,29,-66.9052,24.8737,12/29/2011,pdt,72,25.6,528,456,NaN
100979,153,2012,01,01,-66.789,24.6074,01/01/2012,pdt,56,26.2,584,528,NaN
100979,154,2012,01,02,-66.6392,24.316,01/02/2012,pdt,64,25.6,480,416,NaN
100979,155,2012,01,03,-66.6499,24.4127,01/03/2012,pdt,72,25.8,536,464,NaN
100979,156,2012,01,04,-66.4855,24.2751,01/04/2012,pdt,64,26.6,680,616,NaN
100979,157,2012,01,07,-66.1656,23.8589,01/07/2012,pdt,8,26.4,416,408,NaN
100979,158,2012,01,08,-65.8908,23.4997,01/08/2012,pdt,24,26.4,448,424,NaN
100979,159,2012,01,09,-65.6152,23.4138,01/09/2012,pdt,80,26.0,544,464,NaN
100979,160,2012,01,10,-65.127,23.3164,01/10/2012,pdt,80,26.2,576,496,NaN
100979,161,2012,01,11,-65.4291,23.2859,01/11/2012,pdt,24,26.2,768,744,NaN
100979,162,2012,01,13,-65.1238,22.9977,01/13/2012,pdt,88,25.6,520,432,NaN
100979,163,2012,01,14,-64.7012,23.0098,01/14/2012,pdt,96,25.2,536,440,NaN
100979,164,2012,01,15,-64.4697,22.9935,01/15/2012,pdt,80,26.0,600,520,NaN
100979,165,2012,01,16,-64.0381,22.92,01/16/2012,pdt,72,26.0,528,456,NaN
100979,166,2012,01,17,-63.3674,22.7818,01/17/2012,pdt,80,25.6,488,408,NaN
100979,167,2012,01,18,-63.3531,22.8769,01/18/2012,pdt,80,25.4,720,640,NaN
100979,168,2012,01,19,-62.8281,22.7401,01/19/2012,pdt,80,25.6,656,576,NaN
100979,169,2012,01,20,-62.7817,22.7686,01/20/2012,pdt,64,26.4,496,432,NaN
100979,170,2012,01,21,-62.5048,22.833,01/21/2012,pdt,72,26.6,576,504,NaN
100979,171,2012,01,22,-62.4413,22.8172,01/22/2012,pdt,72,26.0,528,456,NaN
100979,172,2012,01,23,-62.29,23.0407,01/23/2012,pdt,72,25.8,512,440,NaN
100979,173,2012,01,24,-61.9263,23.3673,01/24/2012,pdt,48,26.2,664,616,NaN
100979,174,2012,01,25,-61.6476,23.5129,01/25/2012,pdt,32,26.4,704,672,NaN
100979,175,2012,01,26,-61.6585,23.4548,01/26/2012,pdt,64,26.0,560,496,NaN
100979,176,2012,01,27,-61.6946,23.5464,01/27/2012,pdt,56,26.4,528,472,NaN
100979,177,2012,01,28,-61.6197,23.6177,01/28/2012,pdt,80,25.8,528,448,NaN
100979,178,2012,01,29,-61.736,23.7554,01/29/2012,pdt,80,25.6,592,512,NaN
100979,179,2012,01,30,-61.628,23.8335,01/30/2012,pdt,1,25.789,720,719,NaN
100979,180,2012,01,31,-61.7066,24.0188,01/31/2012,pdt,80,24.8,744,664,NaN
100979,181,2012,02,01,-61.6976,23.9469,02/01/2012,pdt,56,25.8,552,496,NaN
100979,182,2012,02,02,-61.3889,23.9165,02/02/2012,pdt,1,26.0,560,559,NaN
100979,183,2012,02,03,-61.3735,23.9822,02/03/2012,pdt,1,26.0,496,495,NaN
100979,184,2012,02,04,-61.2474,23.8,02/04/2012,pdt,1,25.988,704,703,NaN
100979,185,2012,02,05,-61.1467,23.6303,02/05/2012,pdt,1,25.804,504,503,NaN
100979,186,2012,02,07,-61.2856,23.7668,02/07/2012,pdt,1,25.8,584,583,NaN
100979,187,2012,02,08,-61.207,23.929,02/08/2012,pdt,1,25.8,496,495,NaN
100979,188,2012,02,09,-61.1246,23.6984,02/09/2012,pdt,1,25.803,504,503,NaN
100979,189,2012,02,10,-61.2087,23.7374,02/10/2012,pdt,48,25.6,592,544,NaN
100979,190,2012,02,11,-61.2299,23.6936,02/11/2012,pdt,1,25.8,328,327,NaN
100979,0,2012,04,01,-68.263,20.625,04/01/2012,pop,NaN,NaN,NaN,NaN,NaN
109841,0,2011,08,23,-69.9315,41.672,08/23/2011,tag,NaN,NaN,NaN,NaN,NaN
109841,10,2011,09,04,-70.6393,39.3926,09/04/2011,pdt,1,27.343,776,775,NaN
109841,13,2011,09,07,-70.699,37.5382,09/07/2011,pdt,144,20.8,744,600,NaN
109841,14,2011,09,08,-71.0204,36.5853,09/08/2011,pdt,1,27.541,720,719,NaN
109841,15,2011,09,09,-71.1727,35.9141,09/09/2011,pdt,1,27.339,768,767,NaN
109841,16,2011,09,10,-71.3835,35.5346,09/10/2011,pdt,1,27.337,760,759,NaN
109841,17,2011,09,11,-71.8054,35.2206,09/11/2011,pdt,1,27.54,752,751,NaN
109841,18,2011,09,12,-71.9123,34.9582,09/12/2011,pdt,1,27.527,752,751,NaN
109841,19,2011,09,13,-72.0538,34.6928,09/13/2011,pdt,264,18.2,1040,776,NaN
109841,20,2011,09,14,-72.2625,34.6541,09/14/2011,pdt,1,27.733,736,735,NaN
109841,21,2011,09,15,-72.422,34.6472,09/15/2011,pdt,1,27.527,768,767,NaN
109841,22,2011,09,16,-72.8537,34.4412,09/16/2011,pdt,1,27.529,728,727,NaN
109841,23,2011,09,17,-73.1457,34.3886,09/17/2011,pdt,1,27.929,776,775,NaN
109841,24,2011,09,18,-73.1927,34.5044,09/18/2011,pdt,1,27.529,752,751,NaN
109841,25,2011,09,19,-73.5954,34.4373,09/19/2011,pdt,1,27.91,728,727,NaN
109841,26,2011,09,20,-73.7791,34.3881,09/20/2011,pdt,1,27.723,672,671,NaN
109841,27,2011,09,21,-73.8839,34.3504,09/21/2011,pdt,1,27.727,704,703,NaN
109841,28,2011,09,22,-73.9041,34.2515,09/22/2011,pdt,1,27.341,784,783,NaN
109841,29,2011,09,23,-74.0133,34.1273,09/23/2011,pdt,1,27.938,744,743,NaN
109841,30,2011,09,25,-73.8621,33.962,09/25/2011,pdt,1,27.743,752,751,NaN
109841,31,2011,09,26,-74.0321,33.9406,09/26/2011,pdt,1,27.141,784,783,NaN
109841,32,2011,09,28,-73.9885,33.6471,09/28/2011,pdt,1,27.731,760,759,NaN
109841,33,2011,09,29,-74.4064,33.3417,09/29/2011,pdt,1,27.338,728,727,NaN
109841,34,2011,09,30,-74.1449,33.1621,09/30/2011,pdt,1,27.738,768,767,NaN
109841,35,2011,10,03,-74.4007,33.4183,10/03/2011,pdt,8,28.4,776,768,NaN
109841,36,2011,10,04,-74.3548,33.4826,10/04/2011,pdt,1,28.534,776,775,NaN
109841,37,2011,10,07,-74.4999,33.5986,10/07/2011,pdt,1,27.942,816,815,NaN
109841,38,2011,10,08,-74.3947,33.6412,10/08/2011,pdt,1,27.74,776,775,NaN
109841,39,2011,10,09,-74.3102,33.6232,10/09/2011,pdt,104,22.2,768,664,NaN
109841,40,2011,10,10,-73.9785,33.5221,10/10/2011,pdt,1,27.35,744,743,NaN
109841,41,2011,10,11,-73.9893,33.6775,10/11/2011,pdt,1,27.555,792,791,NaN
109841,42,2011,10,12,-73.9226,33.6968,10/12/2011,pdt,1,27.555,784,783,NaN
109841,43,2011,10,13,-73.7881,33.4877,10/13/2011,pdt,1,27.556,832,831,NaN
109841,44,2011,10,14,-73.7105,33.4878,10/14/2011,pdt,1,27.356,808,807,NaN
109841,45,2011,10,15,-73.6494,33.67,10/15/2011,pdt,1,27.754,808,807,NaN
109841,46,2011,10,16,-73.4217,33.4566,10/16/2011,pdt,1,27.552,784,783,NaN
109841,47,2011,10,17,-73.2795,33.5205,10/17/2011,pdt,8,27.4,808,800,NaN
109841,48,2011,10,18,-73.3823,33.5398,10/18/2011,pdt,1,27.355,784,783,NaN
109841,49,2011,10,19,-73.3031,33.6491,10/19/2011,pdt,112,23.0,800,688,NaN
109841,50,2011,10,20,-73.2753,33.7007,10/20/2011,pdt,8,27.6,808,800,NaN
109841,51,2011,10,21,-73.3036,33.6271,10/21/2011,pdt,24,27.6,800,776,NaN
109841,52,2011,10,22,-73.4422,33.5107,10/22/2011,pdt,1,27.554,768,767,NaN
109841,53,2011,10,23,-73.5201,33.457,10/23/2011,pdt,1,27.161,768,767,NaN
109841,55,2011,10,25,-73.3825,33.3133,10/25/2011,pdt,1,27.357,768,767,NaN
109841,56,2011,10,26,-73.3406,33.3289,10/26/2011,pdt,1,27.355,768,767,NaN
109841,57,2011,10,27,-73.2847,33.2766,10/27/2011,pdt,1,27.354,768,767,NaN
109841,58,2011,10,28,-73.4545,33.4063,10/28/2011,pdt,8,27.0,752,744,NaN
109841,59,2011,10,29,-73.3348,33.4541,10/29/2011,pdt,1,27.357,768,767,NaN
109841,60,2011,10,30,-73.3741,33.2562,10/30/2011,pdt,120,21.6,760,640,NaN
109841,61,2011,10,31,-73.5262,33.3603,10/31/2011,pdt,1,26.952,800,799,NaN
109841,62,2011,11,03,-73.5782,33.5395,11/03/2011,pdt,8,26.8,760,752,NaN
109841,63,2011,11,05,-73.0279,33.7031,11/05/2011,pdt,56,26.6,848,792,NaN
109841,64,2011,11,08,-73.2133,33.9696,11/08/2011,pdt,1,25.946,808,807,NaN
109841,67,2011,11,13,-73.1471,34.3073,11/13/2011,pdt,104,19.8,848,744,NaN
109841,68,2011,11,14,-73.0338,34.5052,11/14/2011,pdt,24,25.0,784,760,NaN
109841,69,2011,11,16,-72.9194,34.4879,11/16/2011,pdt,1,24.164,784,783,NaN
109841,70,2011,11,17,-72.9615,34.4458,11/17/2011,pdt,1,24.359,792,791,NaN
109841,71,2011,11,18,-72.8933,34.4041,11/18/2011,pdt,1,24.356,832,831,NaN
109841,72,2011,11,19,-73.0042,34.4794,11/19/2011,pdt,1,24.158,800,799,NaN
109841,76,2011,11,23,-72.8476,34.2027,11/23/2011,pdt,8,24.0,808,800,NaN
109841,77,2011,11,24,-73.0012,34.0782,11/24/2011,pdt,1,23.763,816,815,NaN
109841,78,2011,11,25,-73.0726,34.0656,11/25/2011,pdt,88,20.8,768,680,NaN
109841,79,2011,11,26,-72.8191,33.9335,11/26/2011,pdt,1,23.968,736,735,NaN
109841,80,2011,11,27,-72.8306,33.8008,11/27/2011,pdt,1,24.165,848,847,NaN
109841,81,2011,11,28,-72.8578,33.6519,11/28/2011,pdt,1,25.164,816,815,NaN
109841,82,2011,11,29,-72.7053,33.5327,11/29/2011,pdt,1,24.163,848,847,NaN
109841,84,2011,12,02,-73.0069,33.5619,12/02/2011,pdt,1,24.166,960,959,NaN
109841,85,2011,12,03,-72.9069,33.4344,12/03/2011,pdt,1,24.168,928,927,NaN
109841,86,2011,12,04,-72.7438,33.2214,12/04/2011,pdt,1,23.767,832,831,NaN
109841,87,2011,12,05,-72.8287,33.0797,12/05/2011,pdt,1,23.37,872,871,NaN
109841,88,2011,12,06,-72.6886,33.0769,12/06/2011,pdt,1,23.38,808,807,NaN
109841,89,2011,12,07,-72.846,33.2168,12/07/2011,pdt,1,23.569,840,839,NaN
109841,90,2011,12,08,-72.6368,32.8973,12/08/2011,pdt,1,23.568,848,847,NaN
109841,91,2011,12,09,-72.6628,32.8395,12/09/2011,pdt,216,18.6,808,592,NaN
109841,92,2011,12,10,-72.4663,32.7739,12/10/2011,pdt,160,19.4,832,672,NaN
109841,93,2011,12,11,-72.4576,32.6221,12/11/2011,pdt,16,23.2,832,816,NaN
109841,94,2011,12,12,-72.3522,32.4093,12/12/2011,pdt,1,22.568,808,807,NaN
109841,95,2011,12,13,-72.3677,32.2619,12/13/2011,pdt,1,22.572,856,855,NaN
109841,96,2011,12,15,-72.6639,32.1532,12/15/2011,pdt,1,22.575,904,903,NaN
109841,97,2011,12,16,-72.862,31.8985,12/16/2011,pdt,136,19.4,944,808,NaN
109841,98,2011,12,19,-72.9996,31.3131,12/19/2011,pdt,1,23.179,920,919,NaN
109841,99,2011,12,20,-73.0858,30.7851,12/20/2011,pdt,1,22.777,888,887,NaN
109841,100,2011,12,21,-73.1826,30.494,12/21/2011,pdt,1,22.977,856,855,NaN
109841,101,2011,12,22,-73.2361,30.3568,12/22/2011,pdt,1,22.6,608,607,NaN
109841,101,2011,12,22,-73.3832,29.762,12/22/2011,pop,1,22.6,608,607,NaN
110493,1,2011,09,21,-69.9061,42.149,09/21/2011,tag,1,16.475,176,175,NaN
110493,9,2011,10,01,-70.8027,39.9092,10/01/2011,pdt,1,17.075,256,255,NaN
110493,10,2011,10,04,-71.4913,39.8924,10/04/2011,pdt,1,17.2,224,223,NaN
110493,11,2011,10,05,-71.6218,39.6862,10/05/2011,pdt,152,7.6,208,56,NaN
110493,12,2011,10,06,-71.5106,39.6906,10/06/2011,pdt,16,16.6,208,192,NaN
110493,13,2011,10,07,-71.1247,39.4323,10/07/2011,pdt,112,7.4,192,80,NaN
110493,14,2011,10,08,-71.0373,39.6592,10/08/2011,pdt,40,9.2,192,152,NaN
110493,15,2011,10,09,-71.4779,39.6322,10/09/2011,pdt,56,8.2,200,144,NaN
110493,16,2011,10,10,-71.4512,39.6344,10/10/2011,pdt,1,16.375,192,191,NaN
110493,18,2011,10,14,-71.2745,39.7788,10/14/2011,pdt,1,15.2,224,223,NaN
110493,21,2011,10,17,-71.2345,39.697,10/17/2011,pdt,152,7.6,216,64,NaN
110493,22,2011,10,18,-71.5773,39.675,10/18/2011,pdt,1,15.175,216,215,NaN
110493,23,2011,10,19,-71.2939,39.5912,10/19/2011,pdt,1,14.8,208,207,NaN
110493,24,2011,10,20,-71.5748,39.4122,10/20/2011,pdt,1,14.6,184,183,NaN
110493,25,2011,10,21,-71.7924,39.1377,10/21/2011,pdt,1,14.4,208,207,NaN
110493,33,2011,10,29,-72.2533,39.077,10/29/2011,gpe,1,12.775,232,231,NaN
110493,36,2011,11,01,-72.0486,39.3533,11/01/2011,gpe,1,11.2125,224,223,NaN
110493,37,2011,11,02,-72.425,39.155,11/02/2011,pdt,24,11.8,216,192,NaN
110493,38,2011,11,04,-72.2871,38.987,11/04/2011,pdt,1,12.192,192,191,NaN
110493,39,2011,11,05,-71.9156,38.9643,11/05/2011,pdt,1,11.775,184,183,NaN
110493,40,2011,11,08,-72.1033,38.5802,11/08/2011,pdt,1,11.8,208,207,NaN
110493,41,2011,11,09,-72.1633,37.9877,11/09/2011,pdt,1,12.7625,216,215,NaN
110493,43,2011,11,11,-71.749,37.2997,11/11/2011,gpe,1,10.8,152,151,NaN
110493,46,2011,11,15,-71.0313,36.038,11/15/2011,pdt,1,22.977,1104,1103,NaN
110493,52,2011,11,21,-69.6961,33.8847,11/21/2011,pdt,16,23.0,1096,1080,NaN
110493,54,2011,11,24,-68.9086,32.0052,11/24/2011,pdt,152,19.2,1168,1016,NaN
110493,55,2011,11,25,-68.7148,31.4936,11/25/2011,pdt,72,23.2,1096,1024,NaN
110493,57,2011,11,27,-68.564,31.0289,11/27/2011,pdt,88,23.2,1128,1040,NaN
110493,60,2011,12,01,-67.9547,30.2927,12/01/2011,pdt,1,23.766,1152,1151,NaN
110493,61,2011,12,02,-67.7724,29.8602,12/02/2011,pdt,1,24.167,1064,1063,NaN
110493,62,2011,12,03,-67.6009,29.4522,12/03/2011,pdt,1,24.769,1000,999,NaN
110493,63,2011,12,04,-67.4397,29.1211,12/04/2011,pdt,1,24.374,1104,1103,NaN
110493,64,2011,12,05,-67.0712,29.1767,12/05/2011,pdt,1,23.973,1120,1119,NaN
110493,65,2011,12,06,-67.2237,28.9178,12/06/2011,pdt,112,21.0,1096,984,NaN
110493,66,2011,12,07,-67.2071,28.7956,12/07/2011,pdt,1,24.37,1016,1015,NaN
110493,67,2011,12,08,-66.5912,28.3863,12/08/2011,pdt,16,24.8,1200,1184,NaN
110493,68,2011,12,09,-66.7183,27.7883,12/09/2011,pdt,1,24.371,1032,1031,NaN
